File	Category	Ground Truth	Transcription	WER	CER
ad00_0000_spk_0_ref_ad00_0000_hifigan.wav	emotion/anger	She's been fired!	She's been fired.	0.000	0.000
ad00_0001_spk_0_ref_ad00_0001_hifigan.wav	emotion/anger	The office is on the top floor!	The office is on the top floor.	0.000	0.000
ad00_0002_spk_0_ref_ad00_0002_hifigan.wav	emotion/anger	There are two of them!	There are two of them.	0.000	0.000
ad00_0003_spk_0_ref_ad00_0003_hifigan.wav	emotion/anger	Look at that puppy!	Look at that puppy!	0.000	0.000
ad00_0004_spk_0_ref_ad00_0004_hifigan.wav	emotion/anger	This report is due tomorrow!	This report is due tomorrow.	0.000	0.000
ad01_0000_spk_0_ref_ad01_0000_hifigan.wav	emotion/anger	The leaves are changing colours!	The leaves are change in colors.	0.600	0.129
ad01_0001_spk_0_ref_ad01_0001_hifigan.wav	emotion/anger	The office is on the top floor!	The office is on the top floor.	0.000	0.000
ad01_0002_spk_0_ref_ad01_0002_hifigan.wav	emotion/anger	This report is due tomorrow!	This report is due tomorrow.	0.000	0.000
ad01_0003_spk_0_ref_ad01_0003_hifigan.wav	emotion/anger	Larry brought a chardonnay!	Larry brought a shortening.	0.250	0.269
ad01_0004_spk_0_ref_ad01_0004_hifigan.wav	emotion/anger	Look at that puppy!	Look at that puppy.	0.000	0.000
ad00_0000_spk_0_ref_ad00_0000_hifigan.wav	emotion/fear	She's been fired.	She's been fired!	0.000	0.000
ad00_0001_spk_0_ref_ad00_0001_hifigan.wav	emotion/fear	The office is on the top floor.	The office is on the top floor!	0.000	0.000
ad00_0002_spk_0_ref_ad00_0002_hifigan.wav	emotion/fear	There are two of them.	There are two of them!	0.000	0.000
ad00_0003_spk_0_ref_ad00_0003_hifigan.wav	emotion/fear	Look at that puppy.	Look at that puppy!	0.000	0.000
ad00_0004_spk_0_ref_ad00_0004_hifigan.wav	emotion/fear	This report is due tomorrow.	This report is due tomorrow.	0.000	0.000
ad01_0000_spk_0_ref_ad01_0000_hifigan.wav	emotion/fear	The leaves are changing colours.	The leaves are changing colors.	0.200	0.032
ad01_0001_spk_0_ref_ad01_0001_hifigan.wav	emotion/fear	The office is on the top floor.	The office is on the top floor.	0.000	0.000
ad01_0002_spk_0_ref_ad01_0002_hifigan.wav	emotion/fear	This report is due tomorrow.	This report is due tomorrow.	0.000	0.000
ad01_0003_spk_0_ref_ad01_0003_hifigan.wav	emotion/fear	Larry brought a chardonnay.	Larry brought a shard in the...	0.750	0.269
ad01_0004_spk_0_ref_ad01_0004_hifigan.wav	emotion/fear	Look at that puppy.	Look at that puppy.	0.000	0.000
ad00_0000_spk_0_ref_ad00_0000_hifigan.wav	emotion/joy	She's been fired!	She's been fired!	0.000	0.000
ad00_0001_spk_0_ref_ad00_0001_hifigan.wav	emotion/joy	The office is on the top floor!	The office is on the top floor!	0.000	0.000
ad00_0002_spk_0_ref_ad00_0002_hifigan.wav	emotion/joy	There are two of them!	There are two of them!	0.000	0.000
ad00_0003_spk_0_ref_ad00_0003_hifigan.wav	emotion/joy	Look at that puppy!	Look at that puppy!	0.000	0.000
ad00_0004_spk_0_ref_ad00_0004_hifigan.wav	emotion/joy	This report is due tomorrow!	This report is due tomorrow.	0.000	0.000
ad01_0000_spk_0_ref_ad01_0000_hifigan.wav	emotion/joy	The leaves are changing colours!	The leaves are changing colors.	0.200	0.032
ad01_0001_spk_0_ref_ad01_0001_hifigan.wav	emotion/joy	The office is on the top floor!	The office is on the top floor.	0.000	0.000
ad01_0002_spk_0_ref_ad01_0002_hifigan.wav	emotion/joy	This report is due tomorrow!	This report is due tomorrow.	0.000	0.000
